dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,end_of_interest_period,source_of_data,data_publicity,doi
49106,COLOCO3,27369,Colônia CO3,-46.70556,-23.8675,NA,Swamp,Latin America,Brazil,Latin America,20,443.5,14123,6,Calibrated radiocarbon years BP,SHCal20,sh_zone_1_2,20000,Neotoma,open,10.21233/BFWW-Z878
49110,AFF4,27371,Loch an Amair,-4.88215,57.29212,NA,Mire,Europe,United Kingdom,Europe,13,1095.5,8810,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/KX38-XG89
49112,AFF5,27372,Above Loch an Eang,-4.914,57.27093,NA,Mire,Europe,United Kingdom,Europe,10,5277,9210.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/GDV0-TN23
49116,AFF7,27374,Cattle Grid,-5.02114,57.25411,NA,Mire,Europe,United Kingdom,Europe,17,6245,11459,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/GGNK-5V20
49120,RAN1,27376,Finnart mire,-4.40144,56.66278,NA,Mire,Europe,United Kingdom,Europe,19,353,9369.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/GQWW-NM15
49122,RAN3,27377,No Aerial,-4.33267,56.6645,NA,Mire,Europe,United Kingdom,Europe,6,4644.5,6610.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/P1H2-5C96
49128,RAN6,27380,Camusericht,-4.41764,56.6955,NA,Mire,Europe,United Kingdom,Europe,15,2844.5,10823.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/34DE-H338
49130,RAN7,27381,Black4a,-4.37356,56.65694,NA,Mire,Europe,United Kingdom,Europe,12,5099.5,10937.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/SG9K-CF51
49132,RAN8,27382,Log Canyon,-4.37357,56.64808,NA,Mire,Europe,United Kingdom,Europe,10,7017,9284,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/D7PQ-K150
49137,RAN2,27383,Gunnar's Tree,-4.34631,56.66935,NA,Mire,Europe,United Kingdom,Europe,7,6619.5,8110.5,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/ZBH4-GT03
49139,YAK2A,27384,Yaksha 2,55.57417,61.69611,NA,Bog,Asia,Russia,Asia,17,-34,10082.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/P06Q-WQ85
49141,YAK3A,27385,Yaksha 3,55.49417,61.73139,NA,Bog,Asia,Russia,Asia,42,-34,5627,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/CB29-MK40
49143,BAS15,27386,Bastani,9.13417,42.06583,NA,Lacustrine,Europe,France,Europe,60,-44,10242,16,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/C5ZD-B823
49147,THUNDER,27387,Thunder Lake,-119.35289,52.22567,NA,Cirque Lake,North America,Canada,North America,32,80,11147,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/JNSX-WG49
49149,GOUR1,27388,La Gourre,6.00333,44.385,NA,Marsh,Europe,France,Europe,29,-30,14000,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/TZQE-5P64
49154,RMT,27389,Redmountain Lake,-121.29758,53.92038,NA,Cirque Lake,North America,Canada,North America,62,-48,10112,5,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/ESZG-QE56
